id,lyric,line
13,"Whoa oh, I'm feeling you, baby",29
13,Don't be afraid to,30
13,Jump then fall,31
13,Jump then fall into me,32
13,"Baby, I'm never gonna leave you",33
13,Say that you wanna be with me too,34
13,'Cause I'ma stay through it all,35
13,So jump then fall,36
13,The bottom's gonna drop out from under our feet,37
13,"I'll catch you, I'll catch you",38
13,When people say things that bring you to your knees,39
13,I'll catch you,40
13,The time is gonna come when you're so mad you could cry,41
13,But I'll hold you through the night until you smile,42
13,"Whoa oh, I need you, baby",43
13,"Don't be afraid, please",44
13,Jump then fall,45
13,Jump then fall into me,46
13,"Baby, I'm never gonna leave you",47
13,Say that you wanna be with me too,48
13,'Cause I'ma stay through it all,49
13,So jump then fall,50
13,"Jump then fall, baby",51
13,"Jump then fall into me, into me",52
13,"Every time you smile, I smile",53
13,"And every time you shine, I shine",54
13,And every time you're here,55
13,"Baby, I'll show you, I'll show you",56
13,"You can jump then fall, jump then fall",57
13,"Jump then fall into me, into me, yeah",58
14,Untouchable like a distant diamond sky,1
14,I'm reaching out and I just can't tell you why,2
14,"I'm caught up in you, I'm caught up in you",3
14,"Untouchable, burning brighter than the sun",4
14,"And when you're close, I feel like coming undone",5
14,In the middle of the night when I'm in this dream,6
14,It's like a million little stars spelling out your name,7
14,"You got to come on, come on, say that we'll be together",8
14,"Come on, come on, little taste of heaven",9
14,It's half full and I won't wait here all day,10
14,I know you're saying that you'd be here anyway,11
14,"But you're untouchable, burning brighter than the sun",12
14,"And now that you're close, I feel like coming undone",13
14,In the middle of the night when I'm in this dream,14
14,It's like a million little stars spelling out your name,15
14,"You got to come on, come on, say that we'll be together",16
14,"Come on, come on, oh",17
14,In the middle of the night waking from this dream,18
14,"I want to feel you by my side, standing next to me",19
14,"You got to come on, come on, say that we'll be together",20
14,"Come on, come on, little taste of heaven",21
14,I'm caught up in you,22
14,"Oh-oh, oh, oh-oh",23
14,"But you're untouchable, burning brighter than the sun",24
14,"Now that you're close, I feel like coming undone",25
14,In the middle of the night when I'm in this dream,26
14,It's like a million little stars spelling out your name,27
14,"You got to come on, come on, say that we'll be together",28
14,"Come on, come on, oh",29
14,In the middle of the night when I'm in this dream,30
14,It's like a million little stars spelling out your name,31
14,"You got to come on, come on, say that we'll be together",32
14,"Come on, come on, come on",33
14,In the middle of the night waking from this dream,34
14,"I want to feel you by my side, standing next to me",35
14,"You got to come on, come on, say that we'll be together",36
14,"Come on, come on, little taste of heaven",37
14,"Oh, oh-oh-oh, oh-oh-oh, oh",38
14,And in the middle of the night when I'm in this dream,39
14,It's like a million little stars spelling out your name,40
